# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3632 8 87 2051 2263573 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/_function-to-string.js
DUPTYPE_FIRST_OCCURRENCE 3557 7 87 2051 2264455 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/es7/global.js
DUPTYPE_WITHIN_SAME_TREE -3557 7 87 2051 2264456 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/global.js
DUPTYPE_WITHIN_SAME_TREE -3557 8 87 2051 2264459 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/global.js
DUPTYPE_WITHIN_SAME_TREE -3557 8 87 2051 2264458 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/es7/global.js
DUPTYPE_FIRST_OCCURRENCE 7049 8 89 2051 2264669 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/number/max-safe-integer.js
DUPTYPE_WITHIN_SAME_TREE -7049 9 89 2051 2264670 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/number/max-safe-integer.js
DUPTYPE_FIRST_OCCURRENCE 3525 7 90 2051 2263420 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/core/_.js
DUPTYPE_WITHIN_SAME_TREE -3525 8 90 2051 2263425 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/core/_.js
DUPTYPE_WITHIN_SAME_TREE -3525 7 90 2051 2263422 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/_.js
